abschlussDe;ausbildungskategorie;ausbildungsstaetteDe;Bildungsrichtung (Optional)
Eidg. Berufsattest EBA (dual Schule-Lehrbetrieb);BETRIEBE;ceff – Centre de formation professionnelle Berne francophone;
Berufsmaturität 2;BERUFSFACHSCHULEN;ceff – Centre de formation professionnelle Berne francophone;
Diplom HF;HOEHERE_FACHSCHULE;ceff – Centre de formation professionnelle Berne francophone;
Eidg. Fachausweis (Berufsprüfung BP);BERUFSPRUEFUNG;ceff – Centre de formation professionnelle Berne francophone;
Berufsmaturität 2;BERUFSFACHSCHULEN;CEJEF - Division commerciale;
Diplom HF;HOEHERE_FACHSCHULE;CEJEF - Division commerciale;
Eidg. Berufsattest EBA (Vollzeitschule);BERUFSFACHSCHULEN;CEJEF - Division commerciale;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;CEJEF - Division commerciale;
Fachmaturität;FACHMITTELSCHULE;CEJEF - Division santé-social-arts;
Berufsmaturität 2;BERUFSFACHSCHULEN;CEJEF - Division santé-social-arts;
Eidg. Berufsattest EBA (Vollzeitschule);BERUFSFACHSCHULEN;CEJEF - Division technique;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;CEJEF - Division technique;
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BETRIEBE;CEJEF - Division technique;
Eidg. Berufsattest EBA (dual Schule-Lehrbetrieb);BETRIEBE;CEJEF - Division technique;
Berufsmaturität 2;BERUFSFACHSCHULEN;CEJEF - Division technique;
Diplom HF;HOEHERE_FACHSCHULE;CEJEF - Division technique;
Passerelle Berufsmaturität/Fachmaturität – universitäre Hochschulen;BRUECKENANGEBOT;Centre de Formation et de Placement;HOCHSCHULE
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnasium Biel Seeland;
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;Didac Bern;BERUFLICHE_GRUNDBILDUNG
10. Schuljahr;BRUECKENANGEBOT;Didac Bern;BERUFLICHE_GRUNDBILDUNG
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;Didac Bern;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;Fachhochschule Westschweiz HES-SO;
Berufsmaturität 2;BERUFSFACHSCHULEN;Fachhochschule Westschweiz HES-SO;
Passerelle Berufsmaturität/Fachmaturität – universitäre Hochschulen;BRUECKENANGEBOT;Ecole Prévôtoise Moutier;HOCHSCHULE
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;Ecole Prévôtoise Moutier;BERUFLICHE_GRUNDBILDUNG
Vorlehre;BRUECKENANGEBOT;CEPV Centre d'enseignement professionnel de Vevey;BERUFLICHE_GRUNDBILDUNG
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;CEPV Centre d'enseignement professionnel de Vevey;
Berufsmaturität 2;BERUFSFACHSCHULEN;CEPV Centre d'enseignement professionnel de Vevey;
Diplom HF;HOEHERE_FACHSCHULE;CEPV Centre d'enseignement professionnel de Vevey;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;CFP Arts, Genf;
Eidg. Berufsattest EBA (Vollzeitschule);BERUFSFACHSCHULEN;CFP Arts, Genf;
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BETRIEBE;CFP Arts, Genf;
Eidg. Berufsattest EBA (dual Schule-Lehrbetrieb);BETRIEBE;CFP Arts, Genf;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;CIFOM EAA École d'arts appliquées;
Berufsmaturität 2;BERUFSFACHSCHULEN;CIFOM EAA École d'arts appliquées;
Diplom HF;HOEHERE_FACHSCHULE;CIFOM EAA École d'arts appliquées;
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;École de la transition (EdT);BERUFLICHE_GRUNDBILDUNG
Diplom HF;HOEHERE_FACHSCHULE;École supérieure d'hygiénistes dentaires;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Collège et Ecole de commerce (CEC) André-Chavanne;
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;CsBe - ICT Ausbildungszentrum / Computerschule Bern;BERUFLICHE_GRUNDBILDUNG
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;CsBe - ICT Ausbildungszentrum / Computerschule Bern;
Eidg. Fachausweis (Berufsprüfung BP);BERUFSPRUEFUNG;CsBe - ICT Ausbildungszentrum / Computerschule Bern;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;CPNV - Centre professionel du Nord vaudois;
Berufsmaturität 2;BERUFSFACHSCHULEN;CPNV - Centre professionel du Nord vaudois;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnasium Lerbermatt;
Fachmaturität;FACHMITTELSCHULE;Fachmittelschule FMS Lerbermatt;
Fachmaturität;FACHMITTELSCHULE;Fachmittelschule FMS Neufeld;
Fachmaturität;FACHMITTELSCHULE;Fachmittelschule FMS Thun;
Fachmaturität;FACHMITTELSCHULE;Fachmittelschule Oberaargau;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Feusi Bildungszentrum, Bern;
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;Feusi Bildungszentrum, Bern;BERUFLICHE_GRUNDBILDUNG
Passerelle Berufsmaturität/Fachmaturität – universitäre Hochschulen;BRUECKENANGEBOT;Feusi Bildungszentrum, Bern;HOCHSCHULE
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;Feusi Bildungszentrum, Bern;
Berufsmaturität 2;BERUFSFACHSCHULEN;Feusi Bildungszentrum, Bern;
Diplom HF;HOEHERE_FACHSCHULE;Feusi Bildungszentrum, Bern;
